SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
 64. ANMELDUNG           AS   Anmeldung durch Schulreferat            
 65. AN-MW               HT   Geschlecht zu Anrede "HT"     M         
 66. AN-MW               ZF   Geschlecht zu Anrede "ZF"     W         
 67. AN-MW               H    Geschlecht zu Anrede "H"      M         
 68. AN-MW               FR   Geschlecht zu Anrede "FR"     W         
 69. AN-MW               HF   Geschlecht zu Anrede "HF"               
 70. AN-MW               F    Geschlecht zu Anrede "F"      W         
 71. AN-MW               FT   Geschlecht zu Anrede "FT"     W         
 72. AN-MW               ZH   Geschlecht zu Anrede "ZH"     M         
104. ANZHL               4    vier                                    
105. ANZHL               15   fünfzehn                                
106. ANZHL               8    acht                                    
107. ANZHL               2    zwei                                    
108. ANZHL               18   achtzehn                                
109. ANZHL               21   einundzwanzig                           
110. ANZHL               9    neun                                    
111. ANZHL               11   elf                                     
112. ANZHL               16   sechzehn                                
113. ANZHL               7    sieben                                  
114. ANZHL               6    sechs                                   
115. ANZHL               17   siebzehn                                
116. ANZHL               22   zweiundzwanzig                          
117. ANZHL               14   vierzehn                                
118. ANZHL               19   neunzehn                                
119. ANZHL               12   zwölf                                   
120. ANZHL               1    eins                                    
121. ANZHL               23   dreiundzwanzig                          
122. ANZHL               3    drei                                    
123. ANZHL               24   vierundzwanzig                          
124. ANZHL               13   dreizehn                                
125. ANZHL               5    fünf                                    
126. ANZHL               20   zwanzig                                 
127. ART-NGF             1    1-wert                                  
128. AUF-TRAEGER         S    Stadt                                   
129. AUF-TRAEGER         SO   Sonstiger Träger                        
130. AUF-TRAEGER         B    Bezirk                                  
  1. ABGANG-JG           9    Jahrgang 9                              
  2. ABGANG-JG           10   Jahrgang 10                             
  3. ABGANG-JG           13   Jahrgang 13                             
  4. ABGANG-JG           8    Jahrgang 8                              
  5. ABGANG-JG           7    Jahrgang 7                              
  6. ABGANG-JG           12   Jahrgang 12                             
  7. ABGANG-JG           11   Jahrgang 11                             
 35. ADRESSTYP           V    Vater                                   
 36. ADRESSTYP           LB   Lehrlingsbetreuer                       
 37. ADRESSTYP           A    Ausbilder                               
 38. ADRESSTYP           BB   Ansprechpartner bei Betrieben für die BS II          
 39. ADRESSTYP           DI   Direktor                                
 40. ADRESSTYP           VA   Adresse vor Beginn der Ausbildung          
 41. ADRESSTYP           B    Bruder                                  
 42. ADRESSTYP           S    Schwester                               
 43. ADRESSTYP           HS   Hauptsitz                               
 44. ADRESSTYP           H    Hausanschrift                           
 45. ADRESSTYP           M    Mutter                                  
